Nombre,Tipo,Precio,Temática,Autores,Tiempo de juego,Dificultad,Num. Jugadores,Idioma,Edad,URL,Descripción
Libro-Juego: Cautiva,Juegos de Rol,"18,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,1,Idioma NO identificat,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/libro-juego-cautiva.html,"Los Libro-Juego constituyen una colección completa de libros ilustrados en los cuales el lector es el protagonista de la historia. Según avanzas en la historia, el lector elegirá cómo se enfrenta a diversos enigmas, preguntas, diálogos, situaciones..., y, dependiendo de su elección, la historia se desarrollará de una forma u otra."
Envenenado + Fantasmas asesinos,Juegos de Rol,"5,80 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,2,Español,Edat NO identificada,https://zacatrus.es/envenenado-fantasmas-asesinos.html,"Envenenado es un pequeño juego para adultos de apenas 64 páginas que presenta una situación inicial y las reglas necesarias para que todo acabe en una más que probable catástrofe. Consta de un libreto de 64 páginas. Necesitarás amigos, papel, lápiz y dados de 6 caras. Fantasmas asesinos es un pequeño juego para 2 jugadores: el jugador y el Maestro de ceremonias (MC). Cada uno cuenta con un libreto estructurado como un libro juego, y una misión concreta: escapar o evitarlo. Como jugador usarás tu libreto e ingenio contra el libreto del MC y su enrevesada, asesina y sangrienta imaginación. Consta de 2 libretos de 32 páginas. Necesitarás a otra persona y una baraja francesa."
The Witcher Pantalla,Juegos de Rol,"14,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/the-witcher-pantalla.html,La Pantalla del Director de Juego del juego de rol de The Witcher es el complemento perfecto para ayudar a los Directores de Juego y a los jugadores a dar vida al oscuro y peligroso mundo de The Witcher en sus mesas de juego.
El Resurgir del Dragón: Edición de Bolsillo,Juegos de Rol,"14,81 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/el-resurgir-del-dragon-edicion-de-bolsillo.html,"Ahora, todas las aventuras de El Resurgir del Dragón, pero en un formato mucho más económico y fácilmente transportable. Esta edición de bolsillo te trae los mismos magos, elfos, orcos y otras muchas criaturas de leyenda."
Plenilunio,Juegos de Rol,"20,90 €",Terror,Autors NO identificat/s,Temps de joc NO identificat,Difícil,Num. Jugadors NO identificat,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/plenilunio.html,"El sistema de juego de Plenilunio es sencillo y directo para que esté al alcance de todo tipo de públicos. Utiliza dados de seis caras que se emplean en tiradas enfrentadas (entre personajes o entre personajes y director de juego) y se cimenta en siete características (Fortaleza, Combate, Voluntad, Astucia, Sutileza, Presencia y Cultura), cada una de las cuales tiene una especialización. Además, los personajes jugadores cuentan con dones, capacidades excepcionales que les ayudarán en sus aventuras.

Con más de 100 ilustraciones de Luis Royo y Rómulo Royo, Malefic Time: Plenilunio se perfila no solo como un atractivo juego de rol con una evocadora atmósfera sino como un objeto preciado para cualquier coleccionista.
Haced frente a vuestro destino y descubrid qué les depara a los supervivientes en este mundo apocalíptico"
Los Buscaduendes,Juegos de Rol,"37,99 €",Espada y Brujería,"Álvaro Corcín, Patricia de Blas",60 min,Medio,"2, 3, 4, 5",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/los-buscaduendes.html,"En Los Buscaduendes podrás encontrar brujas, hadas, magos y, sobre todo, duendes, con los que vivirás aventuras mágicas envueltos en un lugar fantástico. Si hay algo que destaque en este lugar es que es el lugar idóneo para contar una historia como jamás la has contado."
Aquelarre,Juegos de Rol,"47,49 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,de 14 a 18 años,https://zacatrus.es/aquelarre.html,"El decano de los juegos de rol, vuelve con todo el sabor del Aquelarre clásico y con eficaces herramientas para adaptarse a las nuevas exigencias de las gentes y costumbres de la España medieval."
UNREALMS pequeño golpe,Juegos de Rol,"9,99 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/unrealms-peque-o-golpe.html,No hi ha descripció
SABER DE LOS CLANES DELUXE pequeño golpe,Juegos de Rol,"21,20 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/saber-de-los-clanes-deluxe-peque-o-golpe.html,No hi ha descripció
Libro-Juego: Hombre Lobo,Juegos de Rol,"18,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,1,Idioma NO identificat,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/libro-juego-hombre-lobo.html,"Los Libro-Juego constituyen una colección completa de libros ilustrados en los cuales el lector es el protagonista de la historia. Según avanzas en la historia, el lector elegirá cómo se enfrenta a diversos enigmas, preguntas, diálogos, situaciones..., y, dependiendo de su elección, la historia se desarrollará de una forma u otra."
Hitos: Cazadores de leyendas,Juegos de Rol,"8,03 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,de 14 a 18 años,https://zacatrus.es/cazadores-de-leyendas.html,"Aventura autojugable, llena de aventuras, donde encontraremos personajes tan diferentes e increíbles como saqueadores de tumbas, contrabandistas, aventureros, expertos en ciencias ocultas... Los jugadores deberán ser uno más para conseguir su objetivo."
First Contact: XCorps,Juegos de Rol,"26,07 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/first-contact-xcorps.html,"Una especie alienígena hostil ha llegado a nuestro planeta con oscuras intenciones: los Chandra. El Consejo de Seguridad de la ONU pone en marcha una iniciativa para organizar la defensa de la humanidad incluyendo la creación de una fuerza multinacional militarizada que hará frente a esta amenaza: Global Defense, cuyos miembros son conocidos coloquialmente como los XCorps"
Pantalla First Contact: XCorps,Juegos de Rol,"9,54 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/pantalla-first-contact-xcorps.html,"Una especie alienígena hostil ha llegado a nuestro planeta con oscuras intenciones: los Chandra. El Consejo de Seguridad de la ONU pone en marcha una iniciativa para organizar la defensa de la humanidad incluyendo la creación de una fuerza multinacional militarizada que hará frente a esta amenaza: Global Defense, cuyos miembros son conocidos coloquialmente como los XCorps."
"Dungeons & Dragons: Starter Set, Caja de inicio edición española",Juegos de Rol,"24,99 €",Espada y Brujería,Autors NO identificat/s,180 min.,Difícil,"5, 6",Español,de 14 a 18 años,https://zacatrus.es/dungeons-dragons-starter-set-caja-de-inicio-edicion-espa-ola.html,"La caja de inicio de Dungeons & Dragons te llevará a un emocionante mundo, lleno de historias que se desarrollarán en tu imaginación. Con esta caja de inicio te harás con las reglas esenciales y todo lo que necesitas para jugar con personajes heroicos, que vivirán peligrosas aventuras en un mundo de fantasía. Más adelante, podrás ampliar tus aventuras con el Manual del Jugador, la Guía del Dungeon Master y el Manual de Monstruos de la quinta edición de Dungeons & Dragons."
"Vampiro: La Mascarada, 5ª edición",Juegos de Rol,"47,49 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/vampiro-la-mascarada-5-edicion.html,"Vuelve uno de los clásicos de los juegos de rol. Vampiro: La Mascarada 5ª Edición se acerca más que nunca a los orígenes del juego, el horror personal, la ética y la moral del humano que deja de serlo para convertirse en un vampiro y la pérdida de humanidad que esto conlleva. En esta nueva edición, se modifica completamente el sistema de juego, creando un sistema totalmente renovado y haciendo que la metatrama del juego avance."
Star Wars: Al Filo del Imperio - Más allá del borde exterior,Juegos de Rol,"23,96 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/star-wars-al-filo-del-imperio-mas-alla-del-borde-exterior.html,"Enciende tu hiperimpulsor y embárcate en un viaje a las regiones más lejanas de la galaxia de Star Wars. Exploradores intrépidos, contrabandistas combativos y eruditos aventureros deberán utilizar todas las habilidades de su arsenal para eludir las fuerzas Imperiales, derrotar a la competencia y finalmente explorar un planeta no cartografiado y sobrevivir a él.

Esta aventura completa, incluye:
· Una historia épica de exploración, perfecta para personajes iniciales.
· Detallada información sobre la estación espacial de la Rueda, Cholganna y Raxus Primero, que permiten al Director de Juego utilizar estas localizaciones en sus propias campañas."
Los Asesinatos del Juguetero,Juegos de Rol,"18,99 €",Terror,Autors NO identificat/s,Temps de joc NO identificat,Difícil,Num. Jugadors NO identificat,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/los-asesinatos-del-juguetero.html,"En los bajos fondos de la España de los años veinte se habla del infame Juguetero. Para el pueblo es un terrorista, un criminal o incluso un demonio, pero las autoridades lo señalan simplemente como un peligroso anarquista.

Ni las fuerzas del orden ni los verdaderos anarquistas saben nada cierto sobre él. Sus ingenios hacen volar por los aires sedes bancarias y asesinan a hombres poderosos. Sus sicarios se volatilizan sin dejar rastro tras cumplir con su cometido. Es rápido, eficaz y letal, y parece que maneja poderes más allá de la comprensión humana. Por eso el rey Alfonso XIII y el director de la Guardia Civil han decidido reunir en secreto a un grupo especializado en casos poco convencionales. Vosotros sois ese grupo, gentes de mala reputación, hambrientas de saber oculto. Debéis detener y capturar al Juguetero, vivo o muerto."
The Witcher Libro Básico,Juegos de Rol,"44,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/the-witcher-libro-basico.html,"¡En medio de la Tercera Guerra Nilfgaardiana, Geralt de Rivia ""El Lobo Blanco"" recorre el Continente en busca de su amor perdido! Pero eso no es lo único que pasa. ¡Un millón de historias más se desarrollan por todo el Continente y tú formas parte de ellas!¡The Witcher, el juego de rol, te permite contar tu propia historia en el mundo de The Witcher! ¡Vive aventuras en el Continente, trata con leyendas vivientes e influye en la política de la región! Lucha en la terrible y brutal Tercera Guerra Nilfgaardiana. ¡O desarrolla tu propia aventura mientras evitas la muerte y el desmembramiento!"
MAGO: LA ASCENSION DELUXE Pequeño golpe,Juegos de Rol,"38,12 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/mago-la-ascension-deluxe.html,No hi ha descripció
Libro-Juego: Zombi,Juegos de Rol,"18,95 €",Zombies,Autors NO identificat/s,Temps de joc NO identificat,Medio,1,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/libro-juego-zombi.html,"Juega como un ser humano y trata de escapar de la ciudad reuniendo a tu propio grupo de supervivientes, o como un zombi consciente de su naturaleza tratando de escapar de los militares para encontrar una nueva vida..."
Canción de hielo y fuego: Juego de miniaturas,Juegos de Wargamers,"116,99 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",45 - 60 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-juego-de-miniaturas.html,"""Canción de hielo y fuego: el juego de miniaturas"" es un increíble juego que pone sobre tu mesa los enormes ejércitos de Poniente para que intenten salir vencedores en la Guerra de los Cinco Reyes. Desde la infantería básica, las máquinas de guerra, la caballería pesada, etc., con cada una de ellas deberás cumplir diferentes objetivos, como controlar un territorio o conseguir un objetivo secreto si quieres ser el vencedor."
Hammer of the Scots,Juegos de Wargamers,"44,24 €",Historia,"Jerry Taylor, Tom Delgliesh",120 - 180 min,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/hammer-of-the-scots.html,"Se presentan dos escenarios: Braveheart (1297-1305) y The Bruce (1306-1314). Ambos se pueden jugar de forma independiente. También se puede jugar en modo campaña que comprende los dos escenarios.

Ideal y muy recomendado para iniciarse en los wargames."
Memoir '44 (Español),Juegos de Wargamers,"53,95 €",Historia,Richard Borg,30 - 60 min,Medio,"2, 3, 4, 5, 6, 7, 8, +8",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/memoir-44-espa-ol.html,"De los acantilados de Pointe-du-Hoc a las batallas de los setos de la Península de Corentin y más allá, Memoir ´44 te suelta en paracaídas en las batallas que cambiaron el curso de la guerra en Europa Occidental en el verano de 1944. 
Omaha Beach, Pegasus Bridge, Operation Cobra... ¡d un paso adelante y ponte al mando de tus tropas en los campos de batalla que decidieron la Historia del s. XX!

Juego de historia en el que los jugadores están al mando de montones de pequeñas miniaturas de soldados de plástico que se enfrentan en docenas de batallas de la 2ª G. M. en un tablero de hexágonos de gran tamaño. Cada escenario de batalla refleja el terreno histórico, la colocación y las tropas y los objetivos de cada ejército. Desplegando y moviendo sus fuerzas por medio de una variada gama de cartas de Mando, el comandante en jefe debe sacar partido a las habilidades específicas de sus distintas unidades: infantería, paracaidistas, tanques, artillería, comandos y miembros de la resistencia."
BattleLore: Partida de guerra de Desdén,Juegos de Wargamers,"35,96 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,2,Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/battlelore-partida-de-guerra-de-desden.html,"Trae feroces guerreros y siniestra brujería a tus partidas de BattleLore con la caja de ejército Partida de guerra de Desdén. Los demoníacos Uthuk Y’llan han desatado terribles fuerzas que incluyen la magia de sacrificio de las Hermanas Sangrientas y la voraz bestia conocida como el Portador de la Perdición. ¡Rastrea la tierra y aplasta a tus enemigos!

Partida de guerra de Desdén presenta 4 nuevas unidades y 5 nuevas cartas de Escenario para añadir más emoción a tus batallas. Con nuevas miniaturas de plástico, cartas, fichas y piezas de Terreno, Partida de guerra de Desdén aporta mayor profundidad a tus batallas tácticas en Terrinoth."
BattleLore: Guardianes de Hernfar,Juegos de Wargamers,"35,96 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,2,Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/battlelore-guardianes-de-hernfar.html,"Trae una legendaria fuerza de armas y magia antigua a tus partidas de BattleLore con la caja de ejército Guardianes de Hernfar. Esta fuerza de combate de élite recluta sus tropas entre los mejor que tienen los Señores Daqan, desde la escuela de magia de Puerto Cano hasta la armería secreta de Nerekhall; esta legión de guerreros trae poderosos hechizos y devastadoras fuerzas contra quienes osen amenazar el dominio de los Señores Daqan.

Guardianes de Hernfar presenta 4 nuevas unidades y 5 nuevas cartas de Escenario para añadir más emoción a tus batallas. Con nuevas miniaturas de plástico, cartas, fichas y piezas de Terreno, Guardianes de Hernfar aporta mayor profundidad a tus batallas tácticas en Terrinoth."
Canción de hielo y fuego: Héroes Stark I,Juegos de Wargamers,"26,39 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",60,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-stark-i.html,"Los líderes de la Casa Stark en la Guerra de los Cinco Reyes representan lo mejor que tiene a su disposición el Norte. Son valientes, hábiles comandantes sin excepción, cada uno de los héroes que sirven bajo el estandarte del lobo huargo se ha entrenado para ocupar un lugar específico en el frente de batalla: a Howland Reed y Rodrik Cassel se les puede confiar el mando de unidades concretas con funciones especializadas; mientras que Brynden Tully y Eddard Stark pueden conducir a todo el ejército con sus inteligentes tácticas y estrategias. Por último, la mera presencia de Bran Stark y sus compañeros Hodor y el lobo huargo Verano infunde valor a los hombres para resistir hasta el último de ellos."
Canción de hielo y fuego: Espadas juramentadas Stark,Juegos de Wargamers,"15,86 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",60,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/cancion-de-hielo-y-fuego-espadas-juramentadas-stark.html,"Los Espadas Juramentadas son valientes, duros y, sobre todo, leales. Seguirán al estandarte del lobo huargo dondequiera que sus señores lo conduzcan, aunque todas las probabilidades de victoria estén en su contra. Casi ningún plan de batalla está completo sin un destacamento de estos curtidos y decididos guerreros. Allí donde otras tropas flaquearían y huirían frente a un enemigo arrollador, los espadas juramentadas se mantienen firmes sin vacilar una y otra vez."
BattleLore: Gran Dragón,Juegos de Wargamers,"14,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,2,Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/battlelore-gran-dragon.html,"Elévate a los cielos y destruye todo lo que veas con la unidad Gran Dragón para BattleLore Segunda Edición. Además de permitir a los jugadores reclutar una unidad Gran Dragón para su ejército, esta caja de refuerzo incluye nuevas cartas de Saber, un nuevo tipo de terreno y un escenario predefinido con el terrible Gran Dragón."
BattleLore: Gigante de las montañas,Juegos de Wargamers,"14,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,2,Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/battlelore-gigante-de-las-monta-as.html,"Aplasta a tus enemigos y siembra la destrucción a tu paso con la unidad Gigante de las Montañas para BattleLore Segunda Edición. Además de permitir a los jugadores reclutar una unidad Gigante de las Montañas para su ejército, esta caja de refuerzo incluye nuevas cartas de Saber, un nuevo tipo de terreno y un escenario predefinido con el poderoso Gigante de las Montañas."
Combat Commander Europa,Juegos de Wargamers,"54,00 €",Temàtica NO identificada,Autors NO identificat/s,120,Dificultat NO identificada,2,Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/combat-commander-europa.html,"Un jugador se pone el mando de las tropas alemanas, mientras que el otro dirige a los Aliados (Rusia o EEUU). Los jugadores alternan turnos jugando cartas para mover a sus unidades o abrir fuego contra el enemigo. Cada hexágono de Combat Commander representa unos 30 metros del terreno de batalla, y cada unidad representa desde un oficial al mando hasta una escuadra de combate de 10 soldados."
"La Gran Guerra, Edición Centenario",Juegos de Wargamers,"63,00 €",Temàtica NO identificada,Autors NO identificat/s,90,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/la-gran-guerra-edicion-centenario.html,"La Gran Guerra recrea las épicas batallas de la Primera Guerra Mundial, permitiendo a los jugadores reproducir los históricos enfrentamientos que se dieron lugar. Además, esta edición Centenario actualiza las miniaturas e introduce una serie de mejoras visuales al juego base."
Runewars: El juego de miniaturas,Juegos de Wargamers,"99,95 €",Espada y Brujería,Andrew Fischer,90 min.,Difícil,2,Español,de 14 a 18 años,https://zacatrus.es/runewars-el-juego-de-miniaturas.html,"""Runewars: El juego de miniaturas"" es un juego de batallas épicas ambientado en el universo de Runebound. Con este juego, podrás planificar tu estrategia, manejando a la caballería, a las criaturas de asedio o a los impresionantes héroes. Tendrás que analizar bien tu estrategia, porque tus rivales también estarán preparados para frustrar tu gran batalla."
Canción de hielo y fuego: Héroes del Pueblo Libre I,Juegos de Wargamers,"29,99 €",Arte y Literatura,"Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-del-pueblo-libre-i.html,"En el ejército del Pueblo Libre muchas tribus e individuos se han unido formando una gran alianza, y esta alianza ha dado lugar a algunas treguas incómodas, especialmente entre Harma Cabeza de Perro y el Señor de los Huesos (también conocido como «Casaca de Matraca»). En cualquier caso, han surgido héroes de todos los estamentos, desde la mujer del acero Ygritte, pasando por los líderes exploradores Jarl y el Llorón, hasta el Magnar de Thenn, rey de su tribu. Las tierras del norte no son lugar para débiles, y el Pueblo Libre está dispuesto a destruir a cualquiera que pretenda encadenarlo."
Canción de hielo y fuego: Héroes de la Guardia de la Noche I,Juegos de Wargamers,"29,99 €",Arte y Literatura,"Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-de-la-guardia-de-la-noche-i.html,"Entre los Héroes de la Guardia de la Noche se encuentran hombres veteranos como Donal Noye y Othell Yarwyck, y luchadores expertos que dirigen grandes contingentes, como Qhorin Mediamano y Alliser Thorne. Estos hombres han superado la prueba del combate y han salido de ella más firmes e impetuosos si cabe. Incluso los reclutas relativamente nuevos como Grenn y Pypar se adaptan rápidamente a los rigores de la lucha sin fin. En el Muro, la vida es dura y muchos son los desafíos, de manera que uno se adapta o muere."
Canción de Hielo y Fuego: Veteranos de la Guardia,Juegos de Wargamers,"29,99 €","Arte y Literatura, Espada y Brujería","Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-veteranos-de-la-guardia.html,"Los Veteranos de la Guardia han participado en innumerables batallas y han sobrevivido. Con ellos en escena, puedes confiar en que la línea de batalla avance; en que se mantendrán firmes ante asaltos feroces, y en que formarán el núcleo disciplinado y competente de cualquier ejército de la Guardia de la Noche. Dado que son infantería pesada, pueden verse sobrepasados por una tromba de enemigos; sin embargo, una planificación cuidadosa y una disposición de sus tropas adecuada permiten a un buen comandante hacer de los Veteranos la afilada punta de una lanza o un frente tan formidable como el mismísimo Muro."
Canción de hielo y fuego: Héroes Lannister II,Juegos de Wargamers,"29,99 €","Arte y Literatura, Espada y Brujería","Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-lannister-ii.html,"La Guardia Real, aunque sólo cuenta con siete miembros, es una de las unidades más diestras en el combate. Cuenta con las mejores armas, la mejor armadura y el mejor adiestramiento que el dinero puede comprar y está completamente dedicada a la protección de su rey, por lo que pueden atacar o defender frente a una cantidad de enemigos tres veces superior a su número sin pensar en la derrota. Sin embargo, hay que ser cauto al emplearlos en la batalla, no solo para evitar que los rodeen y destruyan, sino para contener y protegerse de la mayor debilidad de la Casa Lannister: el propio rey Joffrey Baratheon."
Canción de hielo y fuego: Escudos juramentados Tully,Juegos de Wargamers,"25,49 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",60,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/cancion-de-hielo-y-fuego-escudos-juramentados-tully.html,"Capaces de rechazar hasta  los más pertinaces asaltos enemigos, los escudos juramentados demuestran  ser el vital espinazo de cualquier ejército Stark. Al igual que todas  las tropas pesadas, carecen de una gran velocidad; sin embargo, su  implacable avance mantiene la línea enemiga en un estado de retirada  constante. Los comandantes hábiles pueden utilizar una formación de  escudos juramentados como refugio para unidades más ligeras que se  retiren tras un ataque exitoso contra el enemigo a la par que siguen  protegiendo sus vulnerables flancos. Solo los más fuertes sobrevivirán a  la Guerra de los Cinco Reyes, y los escudos juramentados son bien  fuertes."
Canción de hielo y fuego: Guardias Lannister,Juegos de Wargamers,"13,55 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",60,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/cancion-de-hielo-y-fuego-guardias-lannister.html,"Los Guardias Lannister son la infantería mejor armada y protegida, con una superioridad en el campo de batalla sin igual. Capaces de resistir cargas y asaltos que harían trizas a tropas peor equipadas, estos soldados consiguen que el oro Lannister haga notar su presencia incluso en el campo de batalla gracias a sus pesadas corazas y gruesos escudos de acero, algo de lo más insólito en tropas rasas y numerosas de este tipo. Estos guardias Lannister son ideales para mantener ocupadas a las formaciones enemigas y resistir sus embates a fin de que puedan ser cercadas con facilidad por tropas de naturaleza más ofensiva."
Star Wars Legión: Soldados exploradores,Juegos de Wargamers,"24,95 €","Ciencia Ficción, TV/Series/Cine",Autors NO identificat/s,180,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/star-wars-legion-soldados-exploradores.html,.
Star Wars Legión: Boba Fett,Juegos de Wargamers,"12,95 €","Ciencia Ficción, TV/Series/Cine",Autors NO identificat/s,180,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/star-wars-legion-boba-fett.html,"contiene 1 miniatura de Boba Fett esculpida con todo lujo de detalle, suficiente para desplegar una unidad de Agente, además de nuevas cartas de Unidad, Mejora y Mando que podrás utilizar en tus batallas."
"Star Wars, X-Wing: Caza Colmillo",Juegos de Wargamers,"19,95 €","Ciencia Ficción, TV/Series/Cine",Autors NO identificat/s,45 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-caza-colmillo.html,El caza mandaloriano clase Colmillo del Protectorado de Concord Dawn utilizaba un sofisticado diseño de ala pivotante que le otorgaba una agilidad excepcional y minimizaba su silueta frontal.
"Star Wars, X-Wing: Esclavo I",Juegos de Wargamers,"29,95 €","Ciencia Ficción, TV/Series/Cine",Autors NO identificat/s,45 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-esclavo-i.html,"La patrullera Esclavo I fue construida inicialmente para que fuera utilizada por las fuerzas de la ley, pero ahora es también muy apreciada por cazarrecompensas y piratas, como es el caso del infame Boba Fett, puesto que su robusto fuselaje ofrece abundante espacio para instalar armas adicionales y otras modificaciones."
"Star Wars, X-Wing: TIE Avanzado x1",Juegos de Wargamers,"19,95 €","Ciencia Ficción, TV/Series/Cine",Autors NO identificat/s,45 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-tie-avanzado-x1.html,"EL TIE avanzado x1 es un prototipo que incorpora sistemas experimentales de selección de objetivos y escudos deflectores. Pilotados únicamente por agentes imperiales de alto rango y escuadrones especializados, la visión de uno de estos cazas es una señal inequívoca de que el sector ha suscitado la atención del Imperio."
"Star Wars, X-Wing: Caza TIE/In",Juegos de Wargamers,"19,95 €","Ciencia Ficción, TV/Series/Cine",Autors NO identificat/s,45 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-caza-tie-in.html,"El caza TIE/ln es el caza estelar más emblemático del Imperio Galáctico, y sus característicos motores iónicos dobles lo dotan de una velocidad impresionante y una maniobrabilidad milimétrica. Aunque su liviano fuselaje carece de escudos deflectores o hiperimpulsor, el Imperio Galáctico puede desplegar cazas TIE en cantidades abrumadoras para vencer a sus enemigos."
Canción de hielo y fuego: Juego de miniaturas,Juegos de Miniaturas,"116,99 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",45 - 60 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-juego-de-miniaturas.html,"""Canción de hielo y fuego: el juego de miniaturas"" es un increíble juego que pone sobre tu mesa los enormes ejércitos de Poniente para que intenten salir vencedores en la Guerra de los Cinco Reyes. Desde la infantería básica, las máquinas de guerra, la caballería pesada, etc., con cada una de ellas deberás cumplir diferentes objetivos, como controlar un territorio o conseguir un objetivo secreto si quieres ser el vencedor."
